prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
鹿児島県,okinoerabujima Island,沖永良部島,おきのえらぶじま,大島郡和泊町、大島郡知名町,93.65,,
鹿児島県,nagashima Island,長島,ながしま,長島町,90.67,,
鹿児島県,kakeromajima Island,加計呂麻島,かけろまじま,瀬戸内町,77.25,,
鹿児島県,shimokoshikishima Island,下甑島,しもこしきしま,薩摩川内市,65.56,,
鹿児島県,kikaishima Island,喜界島,きかいしま,喜界町,56.76,,
鹿児島県,kamikoshikishima Island,上甑島,かみこしきしま,薩摩川内市,44.2,,
鹿児島県,kuchinoerabujima Island,口永良部島,くちのえらぶじま,屋久島町,35.81,,
鹿児島県,nakanoshima Island,中之島,なかのしま,十島村,34.42,,
鹿児島県,suwanosejima Island,諏訪之瀬島,すわのせじま,十島村,27.61,,
鹿児島県,yoronjima Island,与論島,よろんじま,与論町,20.56,,
鹿児島県,shishijima Island,獅子島,ししじま,長島町,17.06,,
鹿児島県,kuroshima Island,黒島,くろしま,三島村,15.39,,
鹿児島県,ukejima Island,請島,うけじま,瀬戸内町,13.34,,
鹿児島県,kuchinoshima Island,口之島,くちのしま,十島村,13.33,,
鹿児島県,ioujima Island,硫黄島,いおうじま,三島村,11.62,,
鹿児島県,yorojima Island,与路島,よろじま,瀬戸内町,9.35,,
鹿児島県,mageshima Island,馬毛島,まげしま,西之表市,8.17,,
鹿児島県,akusekijima Island,悪石島,あくせきじま,十島村,7.49,,
鹿児島県,nakakoshikishima Island,中甑島,なかこしきしま,薩摩川内市,7.28,,
鹿児島県,takarajima Island,宝島,たからじま,十島村,7.07,,
鹿児島県,takeshima Island,竹島,たけしま,三島村,4.22,,
鹿児島県,shiurajima Island,諸浦島,しょうらじま,長島町,3.87,,
鹿児島県,ikarajima Island,伊唐島,いからじま,長島町,3.71,,
鹿児島県,tairajima Island,平島,たいらじま,十島村,2.08,,
鹿児島県,katsurajima Island,桂島,かつらじま,出水市,0.33,,
鹿児島県,shinjima Island,新島,しんじま,鹿児島市,0.13,,
鹿児島県,kodakarajima Island,小宝島,こだからじま,十島村,1,,
沖縄県,iriomotejima Island,西表島,いりおもてじま,竹富町,289.62,,
沖縄県,ishigakijima Island,石垣島,いしがきじま,石垣市,222.24,,
沖縄県,miyakojima Island,宮古島,みやこじま,宮古島市,158.54,,
沖縄県,kumejima Island,久米島,くめじま,久米島町,59.53,,
沖縄県,minamidaitoujima Island,南大東島,みなみだいとうじま,南大東村,30.52,,
沖縄県,irabujima Island,伊良部島,いらぶじま,宮古島市,29.07,,
沖縄県,yonagunijima Island,与那国島,よなぐにじま,与那国町,28.82,,
沖縄県,ieshima Island,伊江島,いえしま,伊江村,22.76,,
沖縄県,iheyajima Island,伊平屋島,いへやじま,伊平屋村,20.66,,
沖縄県,taramashima Island,多良間島,たらましま,多良間村,19.81,,
